probe,log2FC,pval,padj,-log10padj,significance
201502_s_at,1.7387682653403385,3.278238116239667e-21,1.634529524757098e-17,16.786607230285032,Upregulated
203936_s_at,2.7280524083361097,2.2024145089967508e-18,5.4906193709289e-15,14.260378662070055,Upregulated
205403_at,3.5415146719015844,9.452915392060902e-17,1.5710745381605217e-13,12.803803209776147,Upregulated
39402_at,2.2453234020703423,2.4860530942123703e-16,3.0988651819357196e-13,12.50879731760228,Upregulated
201631_s_at,1.6162696426550784,8.387842940478038e-16,7.286421248536239e-13,12.137485724581012,Upregulated
209774_x_at,3.4354707978782413,8.768256616770444e-16,7.286421248536239e-13,12.137485724581012,Upregulated
213906_at,-1.5366249503854057,1.1842941119451734e-15,8.435557774512335e-13,12.07388619577977,Downregulated
206177_s_at,2.8909963483691623,2.1933621902355624e-15,1.3670129850643143e-12,11.86422736011031,Upregulated
223261_at,-1.3166757131651075,6.6952359161512536e-15,3.338244627793015e-12,11.47648184123141,Downregulated
204470_at,2.694194143680761,6.3855705802849934e-15,3.338244627793015e-12,11.47648184123141,Upregulated
202411_at,5.1017480117574605,8.041859812188146e-15,3.341392751964175e-12,11.476072473782436,Upregulated
203021_at,2.1651463756258513,7.469881227522547e-15,3.341392751964175e-12,11.476072473782436,Upregulated
1568768_s_at,2.4578047091162025,1.1054657480095171e-14,4.2398863227503486e-12,11.372645787290303,Upregulated
205660_at,1.7537729792749488,1.251121347391832e-14,4.455779312925482e-12,11.35107632715931,Upregulated
206157_at,1.4812281693327138,1.5558158073426636e-14,5.171531743607014e-12,11.28638080520966,Upregulated
242432_at,-1.8834687742877163,2.9362534413174765e-14,9.150099786505587e-12,11.03857416970487,Downregulated
238893_at,1.325268615501404,3.926107576971066e-14,1.151504257575161e-11,10.938734451935112,Upregulated
215921_at,-1.8246821915452909,7.710552589037891e-14,2.135823067163496e-11,10.670434727363167,Downregulated
203989_x_at,-1.30228882774151,1.915303058701129e-13,5.0261584477283316e-11,10.298763824559714,Downregulated
222934_s_at,1.4729134299534774,2.50949796768649e-13,6.25617843344242e-11,10.203690873190803,Upregulated
213524_s_at,2.818005607439866,2.991089336454497e-13,6.48416149198353e-11,10.188146177320757,Upregulated
222154_s_at,1.4327932761048494,2.8864225448676093e-13,6.48416149198353e-11,10.188146177320757,Upregulated
224231_at,-2.0222499882833977,2.8711414968796494e-13,6.48416149198353e-11,10.188146177320757,Downregulated
202859_x_at,4.373477365119475,3.3344201870495505e-13,6.927257938595441e-11,10.159438640972505,Upregulated
206026_s_at,2.320568641405499,4.885293366359422e-13,9.743229089867229e-11,10.011297085883363,Upregulated
205802_at,-1.95094569695057,5.423695045316052e-13,1.0400978267671477e-10,9.982925811059784,Downregulated
205483_s_at,1.8902605547945193,1.0002067454673776e-12,1.8470484566297574e-10,9.733521710855987,Upregulated
227404_s_at,3.2202650408986457,1.4926060441919285e-12,2.657904905836056e-10,9.575460561244846,Upregulated
